Main Image Loaded: /binary/FoxDec/foxdec/examples/tar/tar, Base Address: 0x55b7b7c89000
0x424bd, 0x7fffadace7a0, 0x7fffadace650
0x424c4, 0x7fffadace748, 0x7fffadace650
0x424cb, 0x7fffadace7f0, 0x7fffadace650
0x424d2, 0x7fffadace798, 0x7fffadace650
0x424d9, 0x7fffadace7a8, 0x7fffadace650
0x424e0, 0x7fffadace7b0, 0x7fffadace650
0x424ea, 0x7fffadace7b8, 0x7fffadace650
0x424f5, 0x7fffadace7c0, 0x7fffadace650
0x424ff, 0x7fffadace7c8, 0x7fffadace650
0x4250a, 0x7fffadace7d0, 0x7fffadace650
0x42515, 0x7fffadace7d8, 0x7fffadace650
0x4251f, 0x7fffadace648, 0x7fffadace650
0x42532, 0x7fffadace778, 0x7fffadace650
0x42539, 0x7fffadace770, 0x7fffadace650
0x42540, 0x7fffadace780, 0x7fffadace650
0x42547, 0x7fffadace788, 0x7fffadace650
0x4296d, 0x55b7b93aa568, 0x7fffadace650
0x42972, 0x7fffadace778, 0x7fffadace650
0x42575, 0x55b7b93aa569, 0x7fffadace650
0x4257f, 0x55b7b93a8b68, 0x7fffadace650
0x42586, 0x7fffadace790, 0x7fffadace650
0x425ab, 0x7fffadace748, 0x7fffadace650
0x425b2, 0x7fffadace648, 0x7fffadace650
0x38c90, 0x7fffadace640, 0x7fffadace648
0x38c92, 0x7fffadace638, 0x7fffadace640
0x38c94, 0x7fffadace630, 0x7fffadace638
0x38c99, 0x7fffadace628, 0x7fffadace630
0x38c9e, 0x7fffadace620, 0x7fffadace628
0x38c9f, 0x7fffadace618, 0x7fffadace620
0x38cab, 0x7fffadace5d8, 0x7fffadace5d0
0x38cb0, 0x7fffadace5f0, 0x7fffadace5d0
0x38cb5, 0x7fffadace5fc, 0x7fffadace5d0
0x38f7a, 0x7fffadace5c8, 0x7fffadace5d0
0x38c90, 0x7fffadace5c0, 0x7fffadace5c8
0x38c92, 0x7fffadace5b8, 0x7fffadace5c0
0x38c94, 0x7fffadace5b0, 0x7fffadace5b8
0x38c99, 0x7fffadace5a8, 0x7fffadace5b0
0x38c9e, 0x7fffadace5a0, 0x7fffadace5a8
0x38c9f, 0x7fffadace598, 0x7fffadace5a0
0x38cab, 0x7fffadace558, 0x7fffadace550
0x38cb0, 0x7fffadace570, 0x7fffadace550
0x38cb5, 0x7fffadace57c, 0x7fffadace550
0x38cc2, 0x7fffadace580, 0x7fffadace550
0x38cca, 0x7fffadace588, 0x7fffadace550
0x38d13, 0x7fffadace548, 0x7fffadace550
0x38e11, 0x7fffadace778, 0x7fffadace550
0x38e16, 0x55b7b93aa569, 0x7fffadace550
0x38e4d, 0x55b7b93aa56a, 0x7fffadace550
0x38d45, 0x7fffadace568, 0x7fffadace550
0x38d4d, 0x7fffadace560, 0x7fffadace550
0x38d87, 0x55b7b93a8b68, 0x7fffadace550
0x38d95, 0x55b7b93a8b70, 0x7fffadace550
0x38d9c, 0x55b7b93a8b78, 0x7fffadace550
0x38ddd, 0x55b7b93a8b80, 0x7fffadace550
0x38de4, 0x7fffadace780, 0x7fffadace550
0x38de9, 0x55b7b93a8b88, 0x7fffadace550
0x38d13, 0x7fffadace548, 0x7fffadace550
0x38e11, 0x7fffadace778, 0x7fffadace550
0x38e16, 0x55b7b93aa56a, 0x7fffadace550
0x38e4d, 0x55b7b93aa56b, 0x7fffadace550
0x38d45, 0x7fffadace568, 0x7fffadace550
